Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Track Exercise Room,05/27/2023 22:00,5/27/2023,7,21,10:00:00 PM,22,2,0.04,9,0.20,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/27/2023 22:30,5/27/2023,7,21,10:30:00 PM,22,0,0.00,1,0.02,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/27/2023 23:00,5/27/2023,7,21,11:00:00 PM,23,0,0.00,1,0.02,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/27/2023 23:30,5/27/2023,7,21,11:30:00 PM,23,0,0.00,1,0.02,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 6:00,5/28/2023,1,22,6:00:00 AM,6,0,0.00,1,0.02,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 6:30,5/28/2023,1,22,6:30:00 AM,6,0,0.00,0,0.00,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 7:00,5/28/2023,1,22,7:00:00 AM,7,0,0.00,0,0.00,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 7:30,5/28/2023,1,22,7:30:00 AM,7,1,0.02,2,0.04,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 8:00,5/28/2023,1,22,8:00:00 AM,8,2,0.04,4,0.09,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 8:30,5/28/2023,1,22,8:30:00 AM,8,5,0.11,6,0.13,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 9:00,5/28/2023,1,22,9:00:00 AM,9,5,0.11,8,0.18,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 9:30,5/28/2023,1,22,9:30:00 AM,9,9,0.20,11,0.24,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 10:00,5/28/2023,1,22,10:00:00 AM,10,13,0.29,15,0.33,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 10:30,5/28/2023,1,22,10:30:00 AM,10,14,0.31,16,0.36,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 11:00,5/28/2023,1,22,11:00:00 AM,11,20,0.44,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 11:30,5/28/2023,1,22,11:30:00 AM,11,18,0.40,20,0.44,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 12:00,5/28/2023,1,22,12:00:00 PM,12,19,0.42,25,0.56,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 12:30,5/28/2023,1,22,12:30:00 PM,12,21,0.47,23,0.51,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 13:00,5/28/2023,1,22,1:00:00 PM,13,19,0.42,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 13:30,5/28/2023,1,22,1:30:00 PM,13,22,0.49,26,0.58,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 14:00,5/28/2023,1,22,2:00:00 PM,14,24,0.53,27,0.60,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 14:30,5/28/2023,1,22,2:30:00 PM,14,21,0.47,26,0.58,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 15:00,5/28/2023,1,22,3:00:00 PM,15,20,0.44,22,0.49,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 15:30,5/28/2023,1,22,3:30:00 PM,15,27,0.60,30,0.67,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 16:00,5/28/2023,1,22,4:00:00 PM,16,27,0.60,31,0.69,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 16:30,5/28/2023,1,22,4:30:00 PM,16,32,0.71,35,0.78,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 17:00,5/28/2023,1,22,5:00:00 PM,17,27,0.60,30,0.67,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 17:30,5/28/2023,1,22,5:30:00 PM,17,25,0.56,32,0.71,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 18:00,5/28/2023,1,22,6:00:00 PM,18,20,0.44,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 18:30,5/28/2023,1,22,6:30:00 PM,18,30,0.67,37,0.82,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 19:00,5/28/2023,1,22,7:00:00 PM,19,22,0.49,30,0.67,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 19:30,5/28/2023,1,22,7:30:00 PM,19,19,0.42,22,0.49,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 20:00,5/28/2023,1,22,8:00:00 PM,20,14,0.31,19,0.42,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 20:30,5/28/2023,1,22,8:30:00 PM,20,20,0.44,25,0.56,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 21:00,5/28/2023,1,22,9:00:00 PM,21,20,0.44,25,0.56,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 21:30,5/28/2023,1,22,9:30:00 PM,21,13,0.29,19,0.42,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 22:00,5/28/2023,1,22,10:00:00 PM,22,1,0.02,6,0.13,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 22:30,5/28/2023,1,22,10:30:00 PM,22,0,0.00,0,0.00,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 23:00,5/28/2023,1,22,11:00:00 PM,23,0,0.00,0,0.00,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/28/2023 23:30,5/28/2023,1,22,11:30:00 PM,23,0,0.00,0,0.00,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 6:00,5/29/2023,2,22,6:00:00 AM,6,2,0.04,3,0.07,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 6:30,5/29/2023,2,22,6:30:00 AM,6,5,0.11,7,0.16,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 7:00,5/29/2023,2,22,7:00:00 AM,7,4,0.09,7,0.16,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 7:30,5/29/2023,2,22,7:30:00 AM,7,4,0.09,5,0.11,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 8:00,5/29/2023,2,22,8:00:00 AM,8,6,0.13,7,0.16,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 8:30,5/29/2023,2,22,8:30:00 AM,8,9,0.20,11,0.24,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 9:00,5/29/2023,2,22,9:00:00 AM,9,12,0.27,15,0.33,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 9:30,5/29/2023,2,22,9:30:00 AM,9,20,0.44,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 10:00,5/29/2023,2,22,10:00:00 AM,10,22,0.49,23,0.51,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 10:30,5/29/2023,2,22,10:30:00 AM,10,22,0.49,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 11:00,5/29/2023,2,22,11:00:00 AM,11,25,0.56,28,0.62,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 11:30,5/29/2023,2,22,11:30:00 AM,11,33,0.73,35,0.78,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 12:00,5/29/2023,2,22,12:00:00 PM,12,30,0.67,36,0.80,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 12:30,5/29/2023,2,22,12:30:00 PM,12,25,0.56,29,0.64,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 13:00,5/29/2023,2,22,1:00:00 PM,13,38,0.84,46,1.02,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 13:30,5/29/2023,2,22,1:30:00 PM,13,39,0.87,48,1.07,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 14:00,5/29/2023,2,22,2:00:00 PM,14,29,0.64,34,0.76,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 14:30,5/29/2023,2,22,2:30:00 PM,14,35,0.78,39,0.87,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 15:00,5/29/2023,2,22,3:00:00 PM,15,37,0.82,41,0.91,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 15:30,5/29/2023,2,22,3:30:00 PM,15,43,0.96,46,1.02,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 16:00,5/29/2023,2,22,4:00:00 PM,16,36,0.80,42,0.93,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 16:30,5/29/2023,2,22,4:30:00 PM,16,37,0.82,44,0.98,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 17:00,5/29/2023,2,22,5:00:00 PM,17,32,0.71,36,0.80,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 17:30,5/29/2023,2,22,5:30:00 PM,17,28,0.62,33,0.73,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 18:00,5/29/2023,2,22,6:00:00 PM,18,29,0.64,31,0.69,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 18:30,5/29/2023,2,22,6:30:00 PM,18,29,0.64,32,0.71,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 19:00,5/29/2023,2,22,7:00:00 PM,19,32,0.71,35,0.78,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 19:30,5/29/2023,2,22,7:30:00 PM,19,28,0.62,34,0.76,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 20:00,5/29/2023,2,22,8:00:00 PM,20,32,0.71,35,0.78,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 20:30,5/29/2023,2,22,8:30:00 PM,20,35,0.78,39,0.87,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 21:00,5/29/2023,2,22,9:00:00 PM,21,30,0.67,37,0.82,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 21:30,5/29/2023,2,22,9:30:00 PM,21,27,0.60,32,0.71,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 22:00,5/29/2023,2,22,10:00:00 PM,22,16,0.36,20,0.44,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 22:30,5/29/2023,2,22,10:30:00 PM,22,11,0.24,12,0.27,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 23:00,5/29/2023,2,22,11:00:00 PM,23,6,0.13,12,0.27,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/29/2023 23:30,5/29/2023,2,22,11:30:00 PM,23,3,0.07,5,0.11,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 6:00,5/30/2023,3,22,6:00:00 AM,6,7,0.16,9,0.20,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 6:30,5/30/2023,3,22,6:30:00 AM,6,17,0.38,19,0.42,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 7:00,5/30/2023,3,22,7:00:00 AM,7,20,0.44,23,0.51,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 7:30,5/30/2023,3,22,7:30:00 AM,7,24,0.53,25,0.56,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 8:00,5/30/2023,3,22,8:00:00 AM,8,20,0.44,25,0.56,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 8:30,5/30/2023,3,22,8:30:00 AM,8,21,0.47,26,0.58,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 9:00,5/30/2023,3,22,9:00:00 AM,9,22,0.49,28,0.62,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 9:30,5/30/2023,3,22,9:30:00 AM,9,27,0.60,31,0.69,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 10:00,5/30/2023,3,22,10:00:00 AM,10,28,0.62,33,0.73,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 10:30,5/30/2023,3,22,10:30:00 AM,10,31,0.69,36,0.80,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 11:00,5/30/2023,3,22,11:00:00 AM,11,35,0.78,39,0.87,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 11:30,5/30/2023,3,22,11:30:00 AM,11,46,1.02,51,1.13,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 12:00,5/30/2023,3,22,12:00:00 PM,12,35,0.78,44,0.98,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 12:30,5/30/2023,3,22,12:30:00 PM,12,33,0.73,41,0.91,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 13:00,5/30/2023,3,22,1:00:00 PM,13,39,0.87,42,0.93,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 13:30,5/30/2023,3,22,1:30:00 PM,13,31,0.69,40,0.89,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 14:00,5/30/2023,3,22,2:00:00 PM,14,40,0.89,50,1.11,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 14:30,5/30/2023,3,22,2:30:00 PM,14,50,1.11,56,1.24,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 15:00,5/30/2023,3,22,3:00:00 PM,15,45,1.00,50,1.11,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 15:30,5/30/2023,3,22,3:30:00 PM,15,45,1.00,50,1.11,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 16:00,5/30/2023,3,22,4:00:00 PM,16,49,1.09,58,1.29,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 16:30,5/30/2023,3,22,4:30:00 PM,16,53,1.18,61,1.36,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 17:00,5/30/2023,3,22,5:00:00 PM,17,55,1.22,62,1.38,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 17:30,5/30/2023,3,22,5:30:00 PM,17,52,1.16,59,1.31,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 18:00,5/30/2023,3,22,6:00:00 PM,18,64,1.42,74,1.64,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 18:30,5/30/2023,3,22,6:30:00 PM,18,50,1.11,55,1.22,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 19:00,5/30/2023,3,22,7:00:00 PM,19,57,1.27,62,1.38,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 19:30,5/30/2023,3,22,7:30:00 PM,19,41,0.91,55,1.22,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 20:00,5/30/2023,3,22,8:00:00 PM,20,39,0.87,42,0.93,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 20:30,5/30/2023,3,22,8:30:00 PM,20,43,0.96,45,1.00,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 21:00,5/30/2023,3,22,9:00:00 PM,21,46,1.02,51,1.13,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 21:30,5/30/2023,3,22,9:30:00 PM,21,37,0.82,53,1.18,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 22:00,5/30/2023,3,22,10:00:00 PM,22,33,0.73,36,0.80,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 22:30,5/30/2023,3,22,10:30:00 PM,22,31,0.69,41,0.91,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 23:00,5/30/2023,3,22,11:00:00 PM,23,25,0.56,28,0.62,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/30/2023 23:30,5/30/2023,3,22,11:30:00 PM,23,13,0.29,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 6:00,5/31/2023,4,22,6:00:00 AM,6,7,0.16,9,0.20,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 6:30,5/31/2023,4,22,6:30:00 AM,6,16,0.36,23,0.51,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 7:00,5/31/2023,4,22,7:00:00 AM,7,19,0.42,25,0.56,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 7:30,5/31/2023,4,22,7:30:00 AM,7,27,0.60,37,0.82,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 8:00,5/31/2023,4,22,8:00:00 AM,8,31,0.69,35,0.78,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 8:30,5/31/2023,4,22,8:30:00 AM,8,29,0.64,34,0.76,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 9:00,5/31/2023,4,22,9:00:00 AM,9,33,0.73,44,0.98,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 9:30,5/31/2023,4,22,9:30:00 AM,9,35,0.78,44,0.98,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 10:00,5/31/2023,4,22,10:00:00 AM,10,35,0.78,40,0.89,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 10:30,5/31/2023,4,22,10:30:00 AM,10,38,0.84,45,1.00,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 11:00,5/31/2023,4,22,11:00:00 AM,11,32,0.71,42,0.93,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 11:30,5/31/2023,4,22,11:30:00 AM,11,44,0.98,49,1.09,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 12:00,5/31/2023,4,22,12:00:00 PM,12,46,1.02,49,1.09,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 12:30,5/31/2023,4,22,12:30:00 PM,12,51,1.13,59,1.31,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 13:00,5/31/2023,4,22,1:00:00 PM,13,41,0.91,44,0.98,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 13:30,5/31/2023,4,22,1:30:00 PM,13,33,0.73,42,0.93,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 14:00,5/31/2023,4,22,2:00:00 PM,14,37,0.82,41,0.91,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 14:30,5/31/2023,4,22,2:30:00 PM,14,53,1.18,59,1.31,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 15:00,5/31/2023,4,22,3:00:00 PM,15,47,1.04,64,1.42,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 15:30,5/31/2023,4,22,3:30:00 PM,15,47,1.04,52,1.16,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 16:00,5/31/2023,4,22,4:00:00 PM,16,42,0.93,52,1.16,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 16:30,5/31/2023,4,22,4:30:00 PM,16,53,1.18,59,1.31,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 17:00,5/31/2023,4,22,5:00:00 PM,17,51,1.13,57,1.27,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 17:30,5/31/2023,4,22,5:30:00 PM,17,54,1.20,60,1.33,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 18:00,5/31/2023,4,22,6:00:00 PM,18,52,1.16,62,1.38,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 18:30,5/31/2023,4,22,6:30:00 PM,18,48,1.07,59,1.31,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 19:00,5/31/2023,4,22,7:00:00 PM,19,38,0.84,42,0.93,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 19:30,5/31/2023,4,22,7:30:00 PM,19,37,0.82,40,0.89,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 20:00,5/31/2023,4,22,8:00:00 PM,20,42,0.93,48,1.07,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 20:30,5/31/2023,4,22,8:30:00 PM,20,47,1.04,53,1.18,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 21:00,5/31/2023,4,22,9:00:00 PM,21,40,0.89,43,0.96,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 21:30,5/31/2023,4,22,9:30:00 PM,21,37,0.82,43,0.96,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 22:00,5/31/2023,4,22,10:00:00 PM,22,38,0.84,42,0.93,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 22:30,5/31/2023,4,22,10:30:00 PM,22,34,0.76,41,0.91,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 23:00,5/31/2023,4,22,11:00:00 PM,23,28,0.62,34,0.76,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,05/31/2023 23:30,5/31/2023,4,22,11:30:00 PM,23,12,0.27,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 6:00,6/1/2023,5,22,6:00:00 AM,6,8,0.18,10,0.22,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 6:30,6/1/2023,5,22,6:30:00 AM,6,18,0.40,22,0.49,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 7:00,6/1/2023,5,22,7:00:00 AM,7,20,0.44,22,0.49,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 7:30,6/1/2023,5,22,7:30:00 AM,7,21,0.47,24,0.53,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 8:00,6/1/2023,5,22,8:00:00 AM,8,17,0.38,19,0.42,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 8:30,6/1/2023,5,22,8:30:00 AM,8,22,0.49,25,0.56,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 9:00,6/1/2023,5,22,9:00:00 AM,9,21,0.47,26,0.58,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 9:30,6/1/2023,5,22,9:30:00 AM,9,22,0.49,32,0.71,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 10:00,6/1/2023,5,22,10:00:00 AM,10,22,0.49,27,0.60,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 10:30,6/1/2023,5,22,10:30:00 AM,10,24,0.53,29,0.64,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
Track Exercise Room,06/01/2023 11:00,6/1/2023,5,22,11:00:00 AM,11,31,0.69,44,0.98,45,Cal Poly  > Rec Center > 2nd Floor > Track Exercise Room
