Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Lower Exercise Room,05/14/2023 11:00,5/14/2023,1,20,11:00:00 AM,11,31,0.36,40,0.47,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 11:30,5/14/2023,1,20,11:30:00 AM,11,32,0.38,39,0.46,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 12:00,5/14/2023,1,20,12:00:00 PM,12,36,0.42,42,0.49,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 12:30,5/14/2023,1,20,12:30:00 PM,12,33,0.39,41,0.48,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 13:00,5/14/2023,1,20,1:00:00 PM,13,29,0.34,35,0.41,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 13:30,5/14/2023,1,20,1:30:00 PM,13,34,0.40,37,0.44,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 14:00,5/14/2023,1,20,2:00:00 PM,14,33,0.39,41,0.48,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 14:30,5/14/2023,1,20,2:30:00 PM,14,24,0.28,32,0.38,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 15:00,5/14/2023,1,20,3:00:00 PM,15,32,0.38,36,0.42,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 15:30,5/14/2023,1,20,3:30:00 PM,15,44,0.52,54,0.64,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 16:00,5/14/2023,1,20,4:00:00 PM,16,43,0.51,52,0.61,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 16:30,5/14/2023,1,20,4:30:00 PM,16,40,0.47,47,0.55,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 17:00,5/14/2023,1,20,5:00:00 PM,17,29,0.34,33,0.39,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 17:30,5/14/2023,1,20,5:30:00 PM,17,26,0.31,32,0.38,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 18:00,5/14/2023,1,20,6:00:00 PM,18,28,0.33,33,0.39,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 18:30,5/14/2023,1,20,6:30:00 PM,18,28,0.33,33,0.39,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 19:00,5/14/2023,1,20,7:00:00 PM,19,31,0.36,40,0.47,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 19:30,5/14/2023,1,20,7:30:00 PM,19,38,0.45,43,0.51,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 20:00,5/14/2023,1,20,8:00:00 PM,20,33,0.39,38,0.45,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 20:30,5/14/2023,1,20,8:30:00 PM,20,31,0.36,36,0.42,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 21:00,5/14/2023,1,20,9:00:00 PM,21,39,0.46,44,0.52,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
